,shipping_provider_id,shipping_provider_name
0,6671794738251726849,Royal Mail
1,6599541761693270018,Hermes
2,6657598289359323137,DPD UK
3,6641219975896514562,Yodel UK
4,6699476450581430274,Parcel Force
5,6974272734012376834,FBA UK
6,6697235581921067009,Collect+ (Yodel)
7,6649195729745887233,UK Mail
8,6582060798096031745,XDP Express
9,6667705672463351809,UPS UK
10,6639580521074524161,DHL UK
11,6618402578756190210,FedEx UK
12,6760727669580627970,Panther UK
13,6652948552425406465,TrakPak
14,6729403182511865858,Whistl
15,6688974813329489921,MailAmericas
16,6651100160943357954,wnDirect
17,6654133961797746689,Parcel2Go
18,6659096093869342722,TNT UK
19,6760847295945768962,Norsk Global
20,6669005562191183873,Old Dominion Freight Line
21,6612827278487322626,EURODIS
22,6642328629463629826,Asendia UK
23,6654409944466849794,Bird System
24,6730542936813043713,B2C Eurpoe
25,6655697308367273986,Tuffnells Pareces Expression
26,6658174162568658945,DX Delivery
27,6760565269699084290,APC Overnight
28,6723065376080412674,Arrow XL
29,6760607283098583042,Ascension Island Post
30,6655992354618769409,Cayman Islands Post
31,6677632889187745793,Deltec Courier
32,6656990260007813122,Guernsey Post
33,6660329273143148545,RPD2man Deliveries
34,6651776153085542401,IMX
35,7038800410345211649,IMX Mail
36,7038837263458895617,Spring
37,7041020108185011970,PostNL
38,7046331078281266945,UPS
39,7046330616433870593,FedEx
40,7046331419286570753,GLS
41,7046331959399679746,Amazon Logistics
42,7043804799275370241,DHL Parcel
43,7049196166784747269,Asendia US
